purchase_date,item_name,item_price,顧客名,かな,地域,メールアドレス,登録日
201906,商品A,100.0,石田佑,いしだ たすく,E市,ishida_tasuku@example.com,2018-05-12
201907,商品A,100.0,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09
201906,商品A,100.0,黄川田博之,きかわだ ひろゆき,C市,kikawada_hiroyuki@example.com,2018-02-14
201907,商品A,100.0,平賀一哉,ひらが かずや,B市,hiraga_kazuya@example.com,2017-05-23
201902,商品A,100.0,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05
201903,商品A,100.0,福本美幸,ふくもと みゆき,F市,fukumoto_miyuki@example.com,2017-01-08
201905,商品A,100.0,谷本愛梨,たにもと あいり,C市,tanimoto_airi@example.com,2018-06-25
201905,商品A,100.0,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23
201905,商品A,100.0,島孝太郎,しま こうたろう,B市,shima_koutarou@example.com,2018-03-13
201901,商品A,100.0,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09
201907,商品A,100.0,林勇,はやし ゆう,C市,hayashi_yuu@example.com,2018-07-28
201905,商品A,100.0,松居満,まつい みつる,A市,matsui_mitsuru@example.com,2018-03-04
201904,商品A,100.0,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
201905,商品A,100.0,日比野徹,ひびの とおる,C市,hibino_tohru@example.com,2018-02-22
201906,商品A,100.0,白鳥りえ,しらとり りえ,F市,shiratori_rie@example.com,2017-04-29
201906,商品A,100.0,須賀ひとみ,すが ひとみ,H市,suga_hitomi@example.com,2018-01-04
201906,商品A,100.0,宇野秀樹,うの ひでき,C市,uno_hideki@example.com,2017-01-30
201906,商品A,100.0,岩沢那奈,いわさわ なな,H市,iwasawa_nana@example.com,2017-07-13
201901,商品A,100.0,松沢育二,まつざわ いくじ,F市,matsuzawa_ikuji@example.com,2017-07-15
201903,商品A,100.0,浅田賢二,あさだ けんじ,C市,asada_kenji@example.com,2018-04-07
201905,商品A,100.0,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19
201904,商品A,100.0,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
201905,商品A,100.0,綾瀬俊介,あやせ しゅんすけ,B市,ayase_shunsuke@example.com,2017-01-28
201906,商品B,200.0,川上りえ,かわかみ りえ,G市,kawakami_rie@example.com,2017-06-20
201903,商品B,200.0,丸山光臣,まるやま みつおみ,G市,maruyama_mitsuomi@example.com,2017-01-30
201906,商品B,200.0,福本美幸,ふくもと みゆき,F市,fukumoto_miyuki@example.com,2017-01-08
201904,商品B,200.0,青山鉄洋,あおやま てつひろ,C市,aoyama_tetsuhiro@example.com,2017-01-07
201907,商品B,200.0,石野仁,いしの じん,E市,ishino_jin@example.com,2017-04-07
201901,商品B,200.0,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
201904,商品B,200.0,米沢仁晶,よねざわ ひろあき,F市,yonezawa_hiroaki@example.com,2018-07-09
201901,商品B,200.0,今茜,こん あかね,F市,kon_akane@example.com,2018-05-20
201907,商品B,200.0,篠山雅功,しのやま まさとし,B市,shinoyama_masatoshi@example.com,2018-07-02
201907,商品B,200.0,杉下悟志,すぎした さとし,E市,sugishita_satoshi@example.com,2018-02-17
201906,商品B,200.0,大山咲,おおやま さき,C市,ooyama_saki@example.com,2018-02-23
201907,商品B,200.0,白鳥りえ,しらとり りえ,F市,shiratori_rie@example.com,2017-04-29
201906,商品B,200.0,田辺きみまろ,たなべ きみまろ,C市,tanabe_kimimaro@example.com,2017-02-12
201904,商品B,200.0,丸山光臣,まるやま みつおみ,G市,maruyama_mitsuomi@example.com,2017-01-30
201903,商品B,200.0,白井俊二,しらい しゅんじ,H市,shirai_shunji@example.com,2018-05-24
201904,商品B,200.0,明石家明,あかしや あきら,B市,akashiya_akira@example.com,2018-02-13
201901,商品B,200.0,大山咲,おおやま さき,C市,ooyama_saki@example.com,2018-02-23
201907,商品B,200.0,小川美菜,おがわ みな,G市,ogawa_mina@example.com,2017-05-05
201907,商品B,200.0,手塚進,てづか すすむ,A市,teduka_susumu@example.com,2018-05-01
201903,商品B,200.0,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06
201903,商品B,200.0,岩佐孝太郎,いわさ こうたろう,D市,iwasa_koutarou@example.com,2018-01-29
201903,商品B,200.0,今茜,こん あかね,F市,kon_akane@example.com,2018-05-20
201907,商品B,200.0,小平陽子,こひら ようこ,B市,kohira_youko@example.com,2018-01-21
201904,商品B,200.0,島英嗣,しま ひでつぐ,D市,shima_hidetsugu@example.com,2018-02-02
201907,商品B,200.0,横田遥,よこた はるか,H市,yokota_haruka@example.com,2018-02-24
201902,商品B,200.0,新谷智花,あらや ともか,F市,araya_tomoka@example.com,2017-02-14
201906,商品B,200.0,矢部惇,やべ じゅん,A市,yabe_jun@example.com,2018-05-20
201903,商品B,200.0,田上美佐子,たうえ みさこ,A市,taue_misako@example.com,2017-03-29
201905,商品B,200.0,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21
201905,商品B,200.0,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
201901,商品B,200.0,矢部惇,やべ じゅん,A市,yabe_jun@example.com,2018-05-20
201901,商品B,200.0,小町瞬,こまち しゅん,D市,komachi_shun@example.com,2018-07-22
201901,商品B,200.0,笹川照生,ささがわ てるお,F市,sasagawa_teruo@example.com,2017-04-08
201901,商品B,200.0,芳賀希,はが のぞみ,A市,haga_nozomi@example.com,2018-01-07
201903,商品B,200.0,石田郁恵,いしだ いくえ,B市,ishida_ikue@example.com,2017-02-05
201907,商品B,200.0,芦田博之,あしだ ひろゆき,E市,ashida_hiroyuki@example.com,2018-07-15
201907,商品B,200.0,横田遥,よこた はるか,H市,yokota_haruka@example.com,2018-02-24
201902,商品B,200.0,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
201905,商品B,200.0,本多フミヤ,ほんだ ふみや,F市,honnda_fumiya@example.com,2017-05-23
201907,商品B,200.0,田辺光洋,たなべ みつひろ,A市,tanabe_mitsuhiro@example.com,2018-07-04
201902,商品B,200.0,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19
201903,商品B,200.0,笹川照生,ささがわ てるお,F市,sasagawa_teruo@example.com,2017-04-08
201907,商品B,200.0,唐沢涼,からさわ りょう,H市,karasawa_ryou@example.com,2018-02-27
201907,商品B,200.0,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13
201905,商品B,200.0,根本博明,ねもと ひろあき,E市,nemoto_hiroaki@example.com,2017-07-02
201905,商品B,200.0,梅沢麻緒,うめざわ まお,A市,umezawa_mao@example.com,2017-06-20
201904,商品B,200.0,浜田未華子,はまだ みかこ,H市,hamada_mikako@example.com,2018-05-22
201904,商品B,200.0,田辺光洋,たなべ みつひろ,A市,tanabe_mitsuhiro@example.com,2018-07-04
201903,商品B,200.0,西脇礼子,にしわき れいこ,H市,nishiwaki_reiko@example.com,2017-07-08
201907,商品B,200.0,藤木一恵,ふじき かづえ,E市,fujiki_kadue@example.com,2018-07-01
201903,商品B,200.0,内田聡,うちだ さとし,E市,uchida_satoshi@example.com,2018-03-08
201902,商品B,200.0,芦田博之,あしだ ひろゆき,E市,ashida_hiroyuki@example.com,2018-07-15
201907,商品B,200.0,赤木だん吉,あかぎ だんきち,F市,akagi_dankichi@example.com,2018-07-16
201906,商品B,200.0,松居満,まつい みつる,A市,matsui_mitsuru@example.com,2018-03-04
201904,商品B,200.0,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10
201905,商品B,200.0,岡慶太,おか けいた,C市,oka_keita@example.com,2018-07-22
201905,商品B,200.0,石田佑,いしだ たすく,E市,ishida_tasuku@example.com,2018-05-12
201904,商品B,200.0,岡田敏也,おかだ としや,E市,okada_toshiya@example.com,2017-02-18
201903,商品B,200.0,森岡季衣,もりおか としえ,H市,morioka_toshie@example.com,2017-01-30
201904,商品B,200.0,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10
201902,商品B,200.0,小町瞬,こまち しゅん,D市,komachi_shun@example.com,2018-07-22
201902,商品B,200.0,石渡小雁,いしわたり こがん,D市,ishiwatari_kogan@example.com,2017-07-28
201903,商品B,200.0,須賀ひとみ,すが ひとみ,H市,suga_hitomi@example.com,2018-01-04
201903,商品B,200.0,岡村希,おかむら のぞみ,H市,okamura_nozomi@example.com,2018-05-19
201907,商品B,200.0,小松隼士,こまつ しゅんじ,C市,komatsu_shunji@example.com,2017-01-10
201905,商品B,200.0,矢沢恵梨香,やざわ えりか,G市,yazawa_erika@example.com,2018-03-24
201905,商品B,200.0,谷本愛梨,たにもと あいり,C市,tanimoto_airi@example.com,2018-06-25
201907,商品B,200.0,影山輝信,かげやま あきのぶ,A市,kageyama_akinobu@example.com,2017-01-23
201904,商品B,200.0,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05
201906,商品B,200.0,米沢仁晶,よねざわ ひろあき,F市,yonezawa_hiroaki@example.com,2018-07-09
201905,商品B,200.0,根岸仁晶,ねぎし ひろあき,D市,negishi_hiroaki@example.com,2017-04-04
201903,商品B,200.0,手塚進,てづか すすむ,A市,teduka_susumu@example.com,2018-05-01
201903,商品B,200.0,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13
201904,商品B,200.0,尾形小雁,おがた こがん,B市,ogata_kogan@example.com,2017-03-15
201906,商品B,200.0,福島友也,ふくしま ともや,B市,fukushima_tomoya@example.com,2017-07-01
201904,商品B,200.0,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
201901,商品B,200.0,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06
201901,商品B,200.0,鈴木一哉,すずき かずや,C市,suzuki_kazuya@example.com,2017-04-09
201904,商品B,200.0,高梨結衣,たかなし ゆい,C市,takanashi_yui@example.com,2018-05-21
201903,商品B,200.0,八木雅彦,やぎ まさひこ,B市,yagi_masahiko@example.com,2017-04-18
201902,商品B,200.0,岡慶太,おか けいた,C市,oka_keita@example.com,2018-07-22
201903,商品B,200.0,新村美月,にいむら みづき,D市,niimura_miduki@example.com,2018-06-17
201902,商品B,200.0,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
201902,商品B,200.0,石崎幸子,いしざき さちこ,F市,ishizaki_sachiko@example.com,2017-06-12
201906,商品B,200.0,浜田未華子,はまだ みかこ,H市,hamada_mikako@example.com,2018-05-22
201904,商品B,200.0,矢部夏空,やべ そら,F市,yabe_sora@example.com,2017-03-25
201905,商品B,200.0,本多フミヤ,ほんだ ふみや,F市,honnda_fumiya@example.com,2017-05-23
201905,商品B,200.0,松岡ノブヒコ,まつおか のぶひこ,B市,matsuoka_nobuhiko@example.com,2018-05-02
201903,商品B,200.0,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09
201906,商品B,200.0,横田遥,よこた はるか,H市,yokota_haruka@example.com,2018-02-24
201902,商品B,200.0,岡慶太,おか けいた,C市,oka_keita@example.com,2018-07-22
201905,商品B,200.0,根本博明,ねもと ひろあき,E市,nemoto_hiroaki@example.com,2017-07-02
201903,商品B,200.0,山西花,やまにし はな,A市,yamanishi_hana@example.com,2018-05-13
201904,商品B,200.0,高田さんま,たかだ さんま,D市,takada_sanma@example.com,2017-06-16
201901,商品B,200.0,石田花,いしだ はな,C市,ishida_hana@example.com,2017-05-17
201906,商品B,200.0,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
201901,商品B,200.0,松村聡,まつむら さとし,G市,matsumura_satoshi@example.com,2018-07-19
201902,商品B,200.0,岡田敏也,おかだ としや,E市,okada_toshiya@example.com,2017-02-18
201902,商品B,200.0,赤木愛梨,あかぎ あいり,F市,akagi_airi@example.com,2018-07-29
201906,商品B,200.0,八木雅彦,やぎ まさひこ,B市,yagi_masahiko@example.com,2017-04-18
201904,商品B,200.0,外山広司,そとやま こうじ,C市,sotoyama_kouji@example.com,2017-06-28
201901,商品B,200.0,石野仁,いしの じん,E市,ishino_jin@example.com,2017-04-07
201904,商品B,200.0,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
201907,商品B,200.0,小松隼士,こまつ しゅんじ,C市,komatsu_shunji@example.com,2017-01-10
201903,商品B,200.0,熊倉綾,くまくら あや,H市,kumakura_aya@example.com,2017-07-15
201902,商品B,200.0,島英嗣,しま ひでつぐ,D市,shima_hidetsugu@example.com,2018-02-02
201903,商品B,200.0,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03
201904,商品B,200.0,高原充則,たかはら みつのり,H市,takahara_mitsunori@example.com,2018-04-21
201902,商品B,200.0,石川まさみ,いしかわ まさみ,G市,ishikawa_masami@example.com,2018-02-12
201905,商品B,200.0,井上桃子,いのうえ ももこ,F市,inoue_momoko@example.com,2018-06-18
201907,商品B,200.0,福島友也,ふくしま ともや,B市,fukushima_tomoya@example.com,2017-07-01
201907,商品B,200.0,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06
201901,商品B,200.0,藤広之,ふじ ひろゆき,G市,fuji_hiroyuki@example.com,2017-02-20
201903,商品C,300.0,今茜,こん あかね,F市,kon_akane@example.com,2018-05-20
201903,商品C,300.0,篠山雅功,しのやま まさとし,B市,shinoyama_masatoshi@example.com,2018-07-02
201902,商品C,300.0,奥光洋,おく みつひろ,A市,oku_mitsuhiro@example.com,2018-01-08
201901,商品C,300.0,白鳥りえ,しらとり りえ,F市,shiratori_rie@example.com,2017-04-29
201904,商品C,300.0,村山知世,むらやま ちせ,D市,murayama_chise@example.com,2017-04-12
201906,商品C,300.0,山西花,やまにし はな,A市,yamanishi_hana@example.com,2018-05-13
201903,商品C,300.0,堀内聡,ほりうち さとし,B市,horiuchi_satoshi@example.com,2018-05-15
201904,商品C,300.0,内村まさみ,うちむら まさみ,A市,uchimura_masami@example.com,2018-03-12
201907,商品C,300.0,植木沙知絵,うえき さちえ,F市,ueki_sachie@example.com,2018-03-15
201903,商品C,300.0,杉田将也,すぎた まさや,A市,sugita_masaya@example.com,2018-04-18
201907,商品C,300.0,志村サダヲ,しむら さだお,E市,shimura_sadawo@example.com,2017-02-07
201901,商品C,300.0,石野仁,いしの じん,E市,ishino_jin@example.com,2017-04-07
201904,商品C,300.0,島本研二,しまもと けんじ,H市,shimamoto_kenji@example.com,2018-03-24
201907,商品C,300.0,矢部美幸,やべ みゆき,F市,yabe_miyuki@example.com,2017-05-27
201901,商品C,300.0,白鳥りえ,しらとり りえ,F市,shiratori_rie@example.com,2017-04-29
201907,商品C,300.0,徳重優,とくしげ ゆう,B市,tokushige_yuu@example.com,2017-01-05
201907,商品C,300.0,黄川田博之,きかわだ ひろゆき,C市,kikawada_hiroyuki@example.com,2018-02-14
201902,商品C,300.0,井川真悠子,いがわ まゆこ,F市,igawa_mayuko@example.com,2017-03-04
201901,商品C,300.0,岡慶太,おか けいた,C市,oka_keita@example.com,2018-07-22
201904,商品C,300.0,小川美菜,おがわ みな,G市,ogawa_mina@example.com,2017-05-05
201907,商品C,300.0,川島友以乃,かわしま ゆいの,G市,kawashima_yuino@example.com,2017-06-09
201902,商品C,300.0,井川里穂,いがわ りほ,A市,igawa_riho@example.com,2017-04-13
201903,商品C,300.0,石野仁,いしの じん,E市,ishino_jin@example.com,2017-04-07
201904,商品C,300.0,牧田玲那,まきた れな,A市,makita_rena@example.com,2017-05-13
201903,商品C,300.0,笹原しぼり,ささはら しぼり,E市,sasahara_shibori@example.com,2017-05-16
201903,商品C,300.0,矢部美幸,やべ みゆき,F市,yabe_miyuki@example.com,2017-05-27
201904,商品C,300.0,楠高史,くすのき たかし,G市,kusunoki_takashi@example.com,2017-04-11
201901,商品C,300.0,青山鉄洋,あおやま てつひろ,C市,aoyama_tetsuhiro@example.com,2017-01-07
201906,商品C,300.0,山西花,やまにし はな,A市,yamanishi_hana@example.com,2018-05-13
201907,商品C,300.0,梅沢麻緒,うめざわ まお,A市,umezawa_mao@example.com,2017-06-20
201903,商品C,300.0,香椎優一,かしい ゆういち,H市,kashii_yuuichi@example.com,2017-06-12
